,tag,name,country,website,rating,checkings/savings offered,preserve,data_sources,aliases,total,Rank - Total,reason,result page variation,total-USD,total-EUR,total-GBP,total-AUD,total-CAD,zak's crazy filter,subsidiary_of,wikiid,top blurb,top blurb headline,viafid,custom_text_status,Unique Statement,headline,dirty deal 1,dirty deal 2,Notes,dirty deals link,permid,isin,Checking & Savings Accounts,Top 3 Ethical,Our Take,From the website,Mobile & Online Banking,Branches Available,Free ATM Withdrawals,Free Checking Account Available,Interest Rates,Credit Card,Mortgage or Loan Options,reviewed_by,recommended_in,lei,rssd,description,Free International Card Payments,Deposit Protection,googleid,Checking & Savings Accounts custom,Free Checking Account Available custom,Branches Available custom,Free ATM Withdrawals custom,Free International Card Payments custom,recommended_order,Credit Card custom
rec06u3RQz1LZAjy9,bayernlb,BayernLB,['Germany'],http://bayernlb.com/,unknown,NOT SURE,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rec0OzjGq2YkcXdnp,,,,,,NOT SURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rec0RZelCNjY8ueXf,alterna,Alterna Savings,['Canada'],alterna.ca,great,,True,['custombank'],alterna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rec0Wc0PaZhsBlU1c,postal_savings_bank_of_china,Postal Savings Bank of China,['China'],http://www.psbc.com/cn/index.html,bad,,,"['banktrack', 'bocc']",postal savings bank of china,7.929,45.0,this bank has not divested from fossil fuels,ran,7.929,6.971303260240869,6.138054277530066,11.084381064294108,10.471195578365588,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rec0eL4PAqe36pBXy,banque_palatine,Banque Palatine,['France'],http://www.palatine.fr,worst,,,['wikidata'],banque palatine,,,Banque Palatineis owned and/or operated by bpce_group. ,,,,,,,true,bpce_group,Q2883429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rec0g4bL2sc16M41h,atmos,Atmos Financial,['United States'],https://www.joinatmos.com/,great,NOT SURE,True,,,,,,,,,,,,,,,"Your money is definitely not funding the fossil fuel industry. Atmos believes in transparency and you can be sure that your money is not enabling gas, oil, or coal extraction. We hope this makes you feel tremendous (boasting is encouraged), but don’t put your feet up just yet – scroll down to discover the next step! And if you are not yet keeping your money with Atmos, you can visit their website at https://www.joinatmos.com/
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rec0uVJUlU1EKXVue,gympie_credit_union,Gympie Credit Union,['Australia'],,great,,,['marketforces'],gympie credit union,,,This rating is based on the marketforces.org.au verification that Gympie Credit Union does not invest in fossl fuels.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rec0ydqwFju2BOyzN,caf_bank,CAF Bank,['United Kingdom'],https://www.cafonline.org/caf-bank,unknown,NOT SURE,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rec19zzusZS3HbUHh,sparebank_1_ostlandet,SpareBank 1 Ostlandet,['Norway'],,ok,,,['fairfinance'],sparebank 1 ostlandet,,,SpareBank 1 Ostlandet has a fairfinance guide rating of greater than 80 on the fair finance guide. It may be making a positive impact on the world.,fairfinance,,,,,,,,,,Your bank is doing OK.,4492151247947744270002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rec1Epl20FLoXBHGn,nordea,Nordea,"['Finland', 'Sweden', 'Norway', 'Denmark']",http://www.nordea.com,bad,Says it offers 'everyday banking' https://www.nordea.com/en/our-services/servicesoverview/servicesforpersonalcustomers ,,"['banktrack', 'bocc', 'custombank', 'fairfinance', 'wikidata']","nordea,nordea bank ab publ nordea bank abp",9.484,51.0,this bank has not divested from fossil fuels,ran,9.484,8.396002824515856,7.248745024504089,13.002546339676774,12.500221499231383,true,,Q1123823,,,128176191,done,"Although Nordea has committed to net zero by 2050, its financing activities tell a very different story.",#20 in Europe for fossil fuel financing.,"[helped one of the EU's biggest emitter of greenhouse gases to raise a total of €2.5 billion in 2019](https://www.banktrack.org/company/fortum) and got paid for it
","it supported $1.6 billion USD of funding towards fossil fuels in 2020 alone.
","
",https://www.banktrack.org/bank/nordea#dodgy_deals,5000062056,SE0000427361,,,,,,,,,,,,,,,,,,,,,,,,,,
