,tag,title,updated_at,link,address,postal_code,city,country,website,filink_id
0,bnp_paribas,BNP Paribas,2021-02-01 00:00:00,https://www.banktrack.org/bank/bnp_paribas,"16, boulevard des Italiens",75009,Paris,France,http://www.bnpparibas.com/en,217
1,abn_amro,ABN AMRO,2021-05-06 00:00:00,https://www.banktrack.org/bank/abn_amro,Gustav Mahlerlaan 10, 1082 PP,Amsterdam,Netherlands,http://www.abnamro.nl/en/index.html,44
2,anz,ANZ,2021-01-28 00:00:00,https://www.banktrack.org/bank/anz,"833 Collins Street, Docklands",3008,Melbourne,Australia,http://www.anz.com.au,411
3,banco_bradesco,Banco Bradesco,2021-03-22 16:58:28,https://www.banktrack.org/bank/banco_bradesco,"Cidade de Deus, Prédio Novo, Vila Yara",06029-900 Osasco,São Paulo,Brazil,https://www.bradescori.com.br/en/,127
4,banco_do_brasil,Banco do Brasil,2021-05-21 00:00:00,https://www.banktrack.org/bank/banco_do_brasil,SBS Quadra 01 Bloco G ed. sede III - 24° Andar Setor Bancario Sul,70074-900 ,Brasilia,Brazil,http://www.bb.com.br,46
5,itau_unibanco,Itaú-Unibanco,2021-06-17 00:00:00,https://www.banktrack.org/bank/itau_unibanco,"Praça Alfredo Egydio de Souza Aranha, 100 Torre Olavo Setubal, Parque Jabaquara", 04344-902 ,São Paulo,Brazil,http://www.itau.com.br,47
6,santander,Banco Santander,2021-01-21 00:00:00,https://www.banktrack.org/bank/santander,Santander Group City. Avda. de Cantabria s/n,28660,"Boadilla del Monte, Madrid",Spain,http://www.santander.com,224
7,bank_mandiri,Bank Mandiri,2021-07-20 15:05:37,https://www.banktrack.org/bank/bank_mandiri,"Plaza Mandiri, Jl. Jend. Gatot, Subroto Kav. 36-38",12190,Jakarta,Indonesia,https://www.bankmandiri.co.id/en/web/guest,707
8,bank_of_america,Bank of America,2021-02-02 00:00:00,https://www.banktrack.org/bank/bank_of_america,100 North Tryon Street,28255,"Charlotte, NC",United States,http://www.bankofamerica.com,132
9,bank_of_china,Bank of China,2021-02-04 00:00:00,https://www.banktrack.org/bank/bank_of_china,"No.1 Fuxingmen Nei Street, Xicheng District",100818 ,Beijing,China,http://www.boc.cn/en/index.html,194
10,barclays,Barclays,2021-05-04 00:00:00,https://www.banktrack.org/bank/barclays,1 Churchill Place,E14 5HP,London,United Kingdom,http://www.barclays.com,53
11,bank_of_tokyo_mitsubishi_ufj,Mitsubishi UFJ Financial Group (MUFG),2021-02-23 00:00:00,https://www.banktrack.org/bank/bank_of_tokyo_mitsubishi_ufj,7-1 Marunouchi 2-Chome Chiyoda,100-0005 ,Tokyo,Japan,http://www.bk.mufg.jp/global/,52
12,citi,Citi,2021-03-16 10:52:41,https://www.banktrack.org/bank/citi,399 Park Avenue NY 10043,,New York,United States,http://www.citigroup.com,58
13,credit_suisse,Credit Suisse,2021-04-29 00:00:00,https://www.banktrack.org/bank/credit_suisse,Paradeplatz 8,8070,Zurich,Switzerland,http://www.credit-suisse.com,59
14,deutsche_bank,Deutsche Bank,2021-01-07 00:00:00,https://www.banktrack.org/bank/deutsche_bank,Taunusanlage 12,60325,Frankfurt am Main,Germany,http://www.db.com,243
15,goldman_sachs,Goldman Sachs,2021-02-10 00:00:00,https://www.banktrack.org/bank/goldman_sachs,200 West Street,10282,New York,United States,http://www.goldmansachs.com/,498
16,hsbc,HSBC,2021-05-28 11:35:48,https://www.banktrack.org/bank/hsbc,8 Canada Square, E14 5 HQ,London,United Kingdom,http://www.hsbc.com,66
17,jpmorgan_chase,JPMorgan Chase,2021-02-25 00:00:00,https://www.banktrack.org/bank/jpmorgan_chase,270 Park Avenue,10017-2070,New York,United States,http://www.jpmorganchase.com,346
18,societe_generale,Société Générale,2021-03-01 00:00:00,https://www.banktrack.org/bank/societe_generale,"29, boulevard Haussmann",75009,Paris,France,http://www.societegenerale.com/,105
19,belfius,Belfius,2021-04-13 00:00:00,https://www.banktrack.org/bank/belfius,Place Charles Rogier 11,1210,Brussels,Belgium,https://www.belfius.com/EN/index.aspx,1658
20,ing,ING,2021-02-16 00:00:00,https://www.banktrack.org/bank/ing,Bijlmerdreef 106,1102 CT,Amsterdam,Netherlands,https://www.ing.com/Home.htm,68
21,intesa_sanpaolo,Intesa Sanpaolo,2021-02-22 00:00:00,https://www.banktrack.org/bank/intesa_sanpaolo,Corso Inghilterra 3,10138,Torino,Italy,https://www.group.intesasanpaolo.com,79
22,sumitomo_mitsui_banking_corporation,Sumitomo Mitsui Banking Corporation (SMBC),2021-03-08 00:00:00,https://www.banktrack.org/bank/sumitomo_mitsui_banking_corporation,"1-1-2, Marunouchi, Chiyoda-ku",100-0005,Tokyo,Japan,http://www.smbc.co.jp/global/index.html,81
