Name,Amount Invested,Position
Bank of Melbourne,-1,Owned by Westpac which is invested in fossil fuels
BankSA,-1,Owned by Westpac which is invested in fossil fuels
Bankwest,-1,Owned by Commonwealth Bank which is invested in fossil fuels
RAMS,-1,Owned by Westpac which is invested in fossil fuels
St George,-1,Owned by Westpac which is invested in fossil fuels
UBank,-1,Owned by National Australia Bank which is invested in fossil fuels
ING,722000000,"loaned to fossil fuels since 2016. However, on 12 December 2017 ING committed to “reducing our [coal power generation] exposure to close to zero by 2025”."
National Australia Bank,7274000000,loaned to fossil fuels since 2016
AMP,530000000,"AMP also holds shares in numerous coal and gas companies, including Yancoal, Origin Energy and BHP Billiton as part of its asset management business"
Westpac,5396000000,"loaned to fossil fuels since 2016 However, on 4 May 2020 Westpac committed “to reduce our [thermal coal] exposure to zero by 2030” and “to provide finance to the [oil and gas] sector in line with our ESG policies and commitment to the Paris Agreement”. For more detail about these commitments, click here."
Bank of China,5248000000,loaned to fossil fuels since 2016
Macquarie,5026000000,loaned to fossil fuels since 2016
Bank of Queensland,31000000,"invested in fossil fuels, including $31 million outstanding finance to companies directly involved in fossil fuel mining as of 31 August 2019. However BOQ committed in 2018 to not provide such finance moving forward and says it will reduce the $31m of fossil fuel finance arrangements to zero by the end of 2023. It also clarified that: ""BOQ has no exposure to coal-fired power generators and has no appetite for lending to this sector."""
Commonwealth Bank,12059000000,"loaned to fossil fuels since 2016. However, on 7 August 2019 Commonwealth Bank committed to “reduce our exposures to thermal coal mining and coal fired power generation, with the view to exiting the sector by 2030” and “only providing Banking and Financing activity to New oil, gas or metallurgical coal projects if ... in line with the goals of the Paris Agreement”. For more detail about these commitments, click here."
ANZ,10843000000,loaned to fossil fuels since 2016
Citi,1439000000,"loaned to fossil fuels since 2016. However, on 21 April 2020 Citi announced that “by the end of 2030, all remaining exposure to [mining] companies [deriving ≥25% of their revenue from thermal coal mining] will be reduced to zero”"
HSBC,1375000000,loaned to fossil fuels since 2016
86 400,0,"""We’re committed to operating a sustainable and socially responsible business. You’ll be pleased to hear that we don’t invest in or lend money to companies in the fossil fuels industry, for example."""
Adelaide Bank,0,"""In respect of our own carbon footprint we make conscious decisions to reduce and offset our impact and we help others do the same by offering green products and services. As we do not currently lend to projects in the coal and coal seam gas sectors, we are simply taking a pragmatic approach that says it makes no sense to broaden our footprint by starting to do so."""
Australian Military Bank,0,"Australian Military Bank ""primarily provides retail banking services to its members and does not undertake commercial lending."""
Australian Mutual Bank,0,"""Australian Mutual Bank does not have any direct investments in the fossil fuel industry. Nor are there direct investments in gambling, armaments, persistent chemicals, or animal testing. Australian Mutual Bank’s banking services are directed to improving the economic and social well-being of members as opposed to corporate speculative gain."""
Australian Unity Bank,0,-
Auswide Bank,0,"""Auswide Bank does not finance companies engaged principally in the exploration, mining, manufacture or export of thermal coal or coal seam gas. Nor do we intentionally invest directly in companies specialising in these areas. We are always committed to the protection of our environment in both our banking and operating practices and endeavour at all times to be a responsible corporate citizen."""
AWA Alliance Bank,0,"""AWA's mission is to significantly contribute to an improved and sustainable future for our members and their communities, as such, our lending and investment portfolio precludes any involvement in the fossil fuel industry."""
Bank of us (formerly B&E),0,"""As a customer owned bank, Bank of us operates by the values that are important to our community. We can confirm that we have no loans or investments in coal or mining industries"""
bcu,0,"""bcu does not invest in fossil fuel projects however with some of our customers in regional areas of NSW affected by challenging employment conditions, many tradespeople are now working in FIFO (Fly in, fly out) roles and some would be working in fossil fuel operations undoubtedly they remain customers of bcu but this would be our only association."""
Bank Australia,0,"""Bank Australia has not made and will not make any loans to the fossil fuel industry, including coal and coal seam gas. Bank Australia is also conscious of the impact of its own operations and has been carbon neutral since 2011."""
Bank First,0,"Does not directly invest in listed or unlisted shares. Also ""does not invest in fossil fuels and has no plans to do so."""
Bank of Heritage Isle,0,-
Bankstown City Unity Bank,0,-
BankVic,0,"""BankVic lends only to members for personal purposes. We do not lend to businesses nor invest in the fossil fuel industry."""
BDCU Alliance Bank,0,"""We make conscious decisions to reduce and offset our impact and we help others do the same by offering green products and services and reviewing how we go about our business. We do not currently lend to projects in the coal and coal seam gas sectors and given our commitment to reducing our environmental footprint, it makes sense to continue this approach throughout our business including the investments we make’’"
Bendigo Bank,0,"""In respect of our own carbon footprint we make conscious decisions to reduce and offset our impact and we help others do the same by offering green products and services. As we do not currently lend to projects in the coal and coal seam gas sectors, we are simply taking a pragmatic approach that says it makes no sense to broaden our footprint by starting to do so."""
Beyond Bank,0,"""Beyond Bank Australia does not have any investments with fossil-fuel associated companies. We're a community focused bank and we work closely with community groups to create good together through health, education and the environment."""
BNK Bank,0,-
Border Bank,0,-
Broken Hill Community Credit Union,0,-
Cairns Bank,0,-
Capricornian,0,-
Central Murray Credit Union,0,-
Central West Credit Union,0,-
CIRCLE Alliance Bank,0,-
Coastline Credit Union,0,-
Country First Credit Union,0,-
