,#ID_RSSD,D_DT_START,D_DT_END,BHC_IND,BROAD_REG_CD,CHTR_AUTH_CD,CHTR_TYPE_CD,FBO_4C9_IND,FHC_IND,FUNC_REG,INSUR_PRI_CD,MBR_FHLBS_IND,MBR_FRS_IND,SEC_RPTG_STATUS,EST_TYPE_CD,BANK_CNT,BNK_TYPE_ANALYS_CD,D_DT_EXIST_CMNC,D_DT_EXIST_TERM,FISC_YREND_MMDD,D_DT_INSUR,D_DT_OPEN,FNCL_SUB_HOLDER,FNCL_SUB_IND,IBA_GRNDFTHR_IND,IBF_IND,ID_RSSD_HD_OFF,MJR_OWN_MNRTY,NM_LGL,NM_SHORT,NM_SRCH_CD,ORG_TYPE_CD,REASON_TERM_CD,CNSRVTR_CD,ENTITY_TYPE,AUTH_REG_DIST_FRS,ACT_PRIM_CD,CITY,CNTRY_NM,ID_CUSIP,STATE_ABBR_NM,PLACE_CD,STATE_CD,STATE_HOME_CD,STREET_LINE1,STREET_LINE2,ZIP_CD,ID_THRIFT,ID_THRIFT_HC,DOMESTIC_IND,ID_ABA_PRIM,ID_FDIC_CERT,ID_NCUA,COUNTY_CD,DIST_FRS,ID_OCC,CNTRY_CD,DT_END,DT_EXIST_CMNC,DT_EXIST_TERM,DT_INSUR,DT_OPEN,DT_START,ID_TAX,PROV_REGION,URL,SLHC_IND,SLHC_TYPE_IND,PRIM_FED_REG,STATE_INC_CD,CNTRY_INC_CD,STATE_INC_ABBR_NM,CNTRY_INC_NM,ID_LEI,IHC_IND
0,37,04/15/2009 00:00:00,12/31/9999 00:00:00,0,1,2,200,0,0,0,7,1,0,0,1,,0,,12/31/9999 00:00:00,0,01/01/1934 00:00:00,09/01/1904 00:00:00,0,0,0,0,0,0,BANK OF HANCOCK COUNTY                                                                                                  ,BANK OF HANCOCK CTY           ,1072861144,1,0,0,NMB,6,52211,SPARTA,UNITED STATES                           ,0,GA,72584,13,0,12855 BROAD STREET,0,31087,16553,0,Y,61107146,10057,0,141,6,0,1007,99991231,0,99991231,19340101,19040901,20090415,0,0,0,0,0,FDIC,0,0,0 ,,0,0
1,73,12/31/2008 00:00:00,12/31/9999 00:00:00,0,2,1,330,0,0,0,3,0,0,0,1,,0,,12/31/9999 00:00:00,0,01/04/1971 00:00:00,01/01/1936 00:00:00,0,0,0,0,0,0,UTILITY EMPLOYEES FEDERAL CREDIT UNION                                                                                  ,UTILITY EMPL FCU              ,788018087,6,0,0,FCU,12,52213,HOQUIAM,UNITED STATES                           ,0,WA,0,53,0,220 MYRTLE STREET,0,98550,0,0,Y,325179988,0,1851,27,12,0,1007,99991231,0,99991231,19710104,19360101,20081231,910591861,0,0,0,0,NCUA,0,0,0 ,,0,0
2,242,01/01/2012 00:00:00,12/31/9999 00:00:00,0,1,2,200,0,0,0,7,1,1,0,1,,0,,12/31/9999 00:00:00,0,01/01/1934 00:00:00,01/01/1922 00:00:00,0,0,0,0,0,0,FIRST COMMUNITY BANK XENIA-FLORA                                                                                        ,FIRST CMNTY BK XENIA FLORA    ,574907456,1,0,0,SMB,8,52211,XENIA,UNITED STATES                           ,0,IL,83739,17,0,260 FRONT STREET,0,62899,0,0,Y,81220537,3850,0,25,8,0,1007,99991231,0,99991231,19340101,19220101,20120101,370274860,0,WWW.FCBXENIAFLORA.COM/INDEX.HTML,0,0,FRS,17,0,IL,,0,0
3,279,03/27/2020 00:00:00,12/31/9999 00:00:00,0,1,2,300,0,0,0,7,1,0,0,1,,0,,12/31/9999 00:00:00,0,01/01/1997 00:00:00,01/01/1934 00:00:00,0,0,0,0,0,0,"MINEOLA COMMUNITY BANK, SSB                                                                                             ",MINEOLA CMNTY BK SSB          ,98889854,6,0,0,SSB,11,52211,MINEOLA,UNITED STATES                           ,0,TX,48648,48,0,215 W BROAD,0,75773,2523,0,Y,311972526,28868,0,499,11,0,1007,99991231,0,99991231,19970101,19340101,20200327,750440734,0,0,0,0,FDIC,48,0,TX,,54930067OMWEWTHVDO95,0
4,354,07/01/2021 00:00:00,12/31/9999 00:00:00,0,1,2,200,0,0,0,7,1,0,0,1,,0,01/01/1901 00:00:00,12/31/9999 00:00:00,0,03/21/1934 00:00:00,01/01/1901 00:00:00,0,0,0,0,0,0,BISON STATE BANK                                                                                                        ,BISON ST BK                   ,715161421,1,0,0,NMB,10,52211,BISON,UNITED STATES                           ,0,KS,6950,20,0,223 MAIN STREET,0,67520,0,0,Y,101107475,14083,0,165,10,0,1007,99991231,19010101,99991231,19340321,19010101,20210701,0,0,0,0,0,FDIC,0,0,0 ,,549300T61O0X0RJMQ375,0
5,457,01/01/2012 00:00:00,12/31/9999 00:00:00,0,1,2,200,0,0,0,7,1,0,0,1,,0,,12/31/9999 00:00:00,0,01/01/1934 00:00:00,10/04/1899 00:00:00,0,0,0,0,0,0,LOWRY STATE BANK                                                                                                        ,LOWRY ST BK                   ,65700974,1,0,0,NMB,9,52211,LOWRY,UNITED STATES                           ,0,MN,38366,27,0,400 FLORENCE AVE.,0,56349,0,0,Y,91208332,10202,0,121,9,0,1007,99991231,0,99991231,19340101,18991004,20120101,410383590,0,0,0,0,FDIC,27,0,MN,,0,0
6,505,10/25/2017 00:00:00,12/31/9999 00:00:00,0,1,1,200,0,0,0,7,1,1,0,1,,0,01/01/1838 00:00:00,12/31/9999 00:00:00,0,12/31/1959 00:00:00,01/01/1838 00:00:00,0,0,0,0,0,0,BALLSTON SPA NATIONAL BANK                                                                                              ,BALLSTON SPA NB               ,995196105,1,0,0,NAT,2,52211,BALLSTON SPA,UNITED STATES                           ,0,NY,4253,36,0,87 FRONT STREET,0,12020,0,0,Y,21304675,6959,0,91,2,1253,1007,99991231,18380101,99991231,19591231,18380101,20171025,140486153,0,0,0,0,OCC,36,0,NY,,549300QY4UCP33T94N09,0
7,774,10/19/2022 00:00:00,12/31/9999 00:00:00,0,2,1,330,0,0,0,3,1,0,0,1,,0,,12/31/9999 00:00:00,0,,01/01/1941 00:00:00,0,0,0,0,0,0,AUSTIN TELCO FEDERAL CREDIT UNION                                                                                       ,AUSTIN TELCO FCU              ,714370077,6,0,0,FCU,11,52213,AUSTIN,UNITED STATES                           ,0,TX,0,48,0,11149 RESEARCH BOULEVARD SUITE 300,0,78759,0,0,Y,314977175,0,4584,453,11,0,1007,99991231,0,99991231,0,19410101,20221019,741110192,0,0,0,0,NCUA,0,0,0 ,,0,0
8,792,12/31/2008 00:00:00,12/31/9999 00:00:00,0,2,1,330,0,0,0,3,1,0,0,1,,0,,12/31/9999 00:00:00,0,,,0,0,0,0,0,0,MASSMUTUAL FEDERAL CREDIT UNION                                                                                         ,MASSMUTUAL FCU                ,946609759,6,0,0,FCU,1,52213,SPRINGFIELD,UNITED STATES                           ,0,MA,67000,25,0,1295 STATE ST,0,1111,0,0,Y,211885836,0,24566,13,1,0,1007,99991231,0,99991231,0,0,20081231,46051174,0,0,0,0,NCUA,0,0,0 ,,0,0
9,1089,12/31/2008 00:00:00,12/31/9999 00:00:00,0,2,1,330,0,0,0,3,0,0,0,1,,0,01/01/1959 00:00:00,12/31/9999 00:00:00,0,01/04/1971 00:00:00,01/01/1959 00:00:00,0,0,0,0,0,0,PLATTSBURGH CITY SCHOOL DISTRICT FEDERAL CREDIT UNION                                                                   ,PLATTSBURGH CITY SCHOOL DIST F,298286705,6,0,0,FCU,2,52213,PLATTSBURGH,UNITED STATES                           ,0,NY,58574,36,0,49 BROAD STREET,0,12901,0,0,Y,221379235,0,12873,19,2,0,1007,99991231,19590101,99991231,19710104,19590101,20081231,146026102,0,0,0,0,NCUA,0,0,0 ,,0,0
10,42420,01/01/2015 00:00:00,12/31/9999 00:00:00,0,1,2,200,0,0,0,7,1,0,0,1,,0,,12/31/9999 00:00:00,0,04/07/1934 00:00:00,04/07/1934 00:00:00,0,0,0,0,0,0,FIRST COMMONWEALTH BANK                                                                                                 ,FIRST COMMONWEALTH BK         ,1024723554,1,0,0,NMB,4,52211,INDIANA,UNITED STATES                           ,0,PA,36816,42,0,600 PHILADELPHIA ST,0,15701,0,0,Y,43306826,7468,0,63,4,0,1007,99991231,0,99991231,19340407,19340407,20150101,250964885,0,0,0,0,FDIC,42,0,PA,,VN1JLT1F3FLLVN3FZG89,0
11,42448,01/02/2017 00:00:00,12/31/9999 00:00:00,0,1,1,200,0,0,0,7,1,1,0,1,,0,,12/31/9999 00:00:00,0,01/01/1934 00:00:00,03/22/1889 00:00:00,0,0,0,0,0,0,FIRST NATIONAL BANK                                                                                                     ,FIRST NB                      ,634671544,1,0,0,NAT,8,52211,PARAGOULD,UNITED STATES                           ,0,AR,53390,5,0,200 WEST COURT STREET,0,72450,0,0,Y,84100793,3887,0,55,8,10004,1007,99991231,0,99991231,19340101,18890322,20170102,710397846,0,0,0,0,OCC,0,0,0 ,,5493003EW6T31TGEC083,0
12,42457,04/12/2012 00:00:00,12/31/9999 00:00:00,0,1,2,200,0,0,0,7,1,0,0,1,,0,04/01/1894 00:00:00,12/31/9999 00:00:00,0,01/01/1934 00:00:00,04/01/1894 00:00:00,0,0,0,0,0,0,COMMERCIAL BANK                                                                                                         ,COMMERCIAL BK                 ,770006616,1,0,0,NMB,10,52211,NELSON,UNITED STATES                           ,0,NE,33880,31,0,401 SOUTH MAIN STREET,0,68961,0,0,Y,104102642,12246,0,129,10,0,1007,99991231,18940401,99991231,19340101,18940401,20120412,470130550,0,,0,0,FDIC,31,0,NE,,0,0
13,42484,12/31/2008 00:00:00,12/31/9999 00:00:00,0,2,1,330,0,0,0,3,0,0,0,1,,0,,12/31/9999 00:00:00,0,,01/01/1950 00:00:00,0,0,0,0,0,0,FRANKLIN JOHNSTOWN FEDERAL CREDIT UNION                                                                                 ,FRANKLIN JOHNSTOWN FCU        ,282148777,6,0,0,FCU,3,52213,JOHNSTOWN,UNITED STATES                           ,0,PA,38288,42,0,310 BLOOMFIELD STREET,0,15904,0,0,Y,231381459,0,6723,21,3,0,1007,99991231,0,99991231,0,19500101,20081231,250994149,0,0,0,0,NCUA,0,0,0 ,,0,0
14,42587,12/31/2008 00:00:00,12/31/9999 00:00:00,0,2,1,330,0,0,0,3,0,0,0,1,,0,,12/31/9999 00:00:00,0,,01/01/1971 00:00:00,0,0,0,0,0,0,CENTERVILLE CLINICS EMPLOYEES FEDERAL CREDIT UNION                                                                      ,CENTERVILLE CLINICS EMPL FCU  ,812169679,6,0,0,FCU,4,52213,FREDERICKTOWN,UNITED STATES                           ,0,PA,27672,42,0,1070 OLD NATIONAL PIKE,0,153332114,0,0,Y,243381528,0,20591,125,4,0,1007,99991231,0,99991231,0,19710101,20081231,237169474,0,0,0,0,NCUA,0,0,0 ,,0,0
15,42989,06/01/2021 00:00:00,12/31/9999 00:00:00,0,2,1,330,0,0,0,3,1,0,0,1,,0,11/10/1968 00:00:00,12/31/9999 00:00:00,0,01/04/1971 00:00:00,11/10/1968 00:00:00,0,0,0,0,0,0,OKLAHOMA COMMUNITY FEDERAL CREDIT UNION                                                                                 ,OKLAHOMA CMNTY FCU            ,660127746,6,0,0,FCU,10,52213,STILLWATER,UNITED STATES                           ,0,OK,70300,40,0,311 E MCELROY,0,74075,0,0,Y,303185813,0,18965,119,10,0,1007,99991231,19681110,99991231,19710104,19681110,20210601,730798831,0,WWW.CUINTOUCH.COM,0,0,NCUA,0,0,0 ,,0,0
16,43052,09/14/2017 00:00:00,12/31/9999 00:00:00,0,1,2,200,0,0,0,7,1,0,0,1,,0,,12/31/9999 00:00:00,0,01/01/1934 00:00:00,06/06/1911 00:00:00,0,0,0,0,0,0,SECURITY STATE BANK                                                                                                     ,SECURITY ST BK                ,103803390,1,0,0,NMB,9,52211,IRON RIVER,UNITED STATES                           ,0,WI,37175,55,0,7865 U.S. HIGHWAY 2,0,54847,0,0,Y,91510075,9036,0,7,9,0,1007,99991231,0,99991231,19340101,19110606,20170914,390281120,0,0,0,0,FDIC,55,0,WI,,549300BUNVNXN3U3OF88,0
17,43089,12/31/2008 00:00:00,12/31/9999 00:00:00,0,2,1,330,0,0,0,3,0,0,0,1,,0,,12/31/9999 00:00:00,0,,01/01/1971 00:00:00,0,0,0,0,0,0,MSD FEDERAL CREDIT UNION                                                                                                ,MSD FCU                       ,429840257,6,0,0,FCU,8,52213,LOUISVILLE,UNITED STATES                           ,0,KY,48000,21,0,700 WEST LIBERTY STREET,0,40203,0,0,Y,283079450,0,20595,111,8,0,1007,99991231,0,99991231,0,19710101,20081231,237150627,0,0,0,0,NCUA,0,0,0 ,,0,0
18,43098,07/16/2010 00:00:00,12/31/9999 00:00:00,0,2,2,330,0,0,0,3,1,0,0,1,,0,,12/31/9999 00:00:00,0,,,0,0,0,0,0,0,FALL RIVER MUNICIPAL CREDIT UNION                                                                                       ,FALL RIVER MUNI CU            ,90367048,6,0,0,SCU,1,52213,FALL RIVER,UNITED STATES                           ,0,MA,23000,25,0,333 MILLIKEN BLVD,0,2721,0,0,Y,211382591,0,67894,5,1,0,1007,99991231,0,99991231,0,0,20100716,41298900,0,0,0,0,NCUA,0,0,0 ,,0,0
19,56548,06/21/2016 00:00:00,12/31/9999 00:00:00,0,1,2,200,0,0,0,7,1,0,0,1,,0,06/29/1922 00:00:00,12/31/9999 00:00:00,0,01/01/1934 00:00:00,06/29/1922 00:00:00,0,0,0,0,0,0,DMB COMMUNITY BANK                                                                                                      ,DMB CMNTY BK                  ,946951110,1,0,0,NMB,7,52211,DE FOREST,UNITED STATES                           ,0,WI,0,55,0,321 NORTH MAIN STREET,0,53532,0,0,Y,75910484,14769,0,25,7,0,1007,99991231,19220629,99991231,19340101,19220629,20160621,390238020,0,0,0,0,FDIC,55,0,WI,,549300LC0BP2X1F6BE13,0
