,#ID_RSSD,D_DT_START,D_DT_END,BHC_IND,BROAD_REG_CD,CHTR_AUTH_CD,CHTR_TYPE_CD,FBO_4C9_IND,FHC_IND,FUNC_REG,INSUR_PRI_CD,MBR_FHLBS_IND,MBR_FRS_IND,SEC_RPTG_STATUS,EST_TYPE_CD,BANK_CNT,BNK_TYPE_ANALYS_CD,D_DT_EXIST_CMNC,D_DT_EXIST_TERM,FISC_YREND_MMDD,D_DT_INSUR,D_DT_OPEN,FNCL_SUB_HOLDER,FNCL_SUB_IND,IBA_GRNDFTHR_IND,IBF_IND,ID_RSSD_HD_OFF,MJR_OWN_MNRTY,NM_LGL,NM_SHORT,NM_SRCH_CD,ORG_TYPE_CD,REASON_TERM_CD,CNSRVTR_CD,ENTITY_TYPE,AUTH_REG_DIST_FRS,ACT_PRIM_CD,CITY,CNTRY_NM,ID_CUSIP,STATE_ABBR_NM,PLACE_CD,STATE_CD,STATE_HOME_CD,STREET_LINE1,STREET_LINE2,ZIP_CD,ID_THRIFT,ID_THRIFT_HC,DOMESTIC_IND,ID_ABA_PRIM,ID_FDIC_CERT,ID_NCUA,COUNTY_CD,DIST_FRS,ID_OCC,CNTRY_CD,DT_END,DT_EXIST_CMNC,DT_EXIST_TERM,DT_INSUR,DT_OPEN,DT_START,ID_TAX,PROV_REGION,URL,SLHC_IND,SLHC_TYPE_IND,PRIM_FED_REG,STATE_INC_CD,CNTRY_INC_CD,STATE_INC_ABBR_NM,CNTRY_INC_NM,ID_LEI,IHC_IND
20,788867,04/24/1990 00:00:00,12/31/1992 00:00:00,0,0,0,0,0,0,0,0,0,0,0,2,,0,,12/31/1992 00:00:00,0,,06/21/1971 00:00:00,0,0,0,0,1164,0,NORTH TEXAS STREET BRANCH                                                                                               ,NORTH TX ST BR                ,331307359,0,0,0,DBR,0,0,FAIRFIELD,UNITED STATES                           ,0,CA,23182,6,0,2785 NORTH TEXAS STREET,0,94533,0,0,Y,0,0,0,95,12,0,1007,19921231,0,19921231,0,19710621,19900424,0,0,0,0,0,,0,0,0,,0,0
21,1158225,04/24/1990 00:00:00,12/31/1992 00:00:00,0,0,0,0,0,0,0,0,0,0,0,2,,0,,12/31/1992 00:00:00,0,,06/01/1986 00:00:00,0,0,0,0,1164,0,GLENDALE BRANCH                                                                                                         ,GLENDALE BR                   ,438951669,0,0,0,DBR,0,0,GLENDALE,UNITED STATES                           ,0,CA,30000,6,0,200 NORTH MARYLAND,0,91209,0,0,Y,0,0,0,37,12,0,1007,19921231,0,19921231,0,19860601,19900424,0,0,0,0,0,,0,0,0,,0,0
22,22066,06/30/1972 00:00:00,12/31/1992 00:00:00,0,0,0,0,0,0,0,0,0,0,0,2,,0,,12/31/1992 00:00:00,0,,09/01/1960 00:00:00,0,0,0,0,1164,0,SANTA CRUZ BRANCH                                                                                                       ,SANTA CRUZ BR                 ,10980601,0,0,0,DBR,0,0,SANTA CRUZ,UNITED STATES                           ,0,CA,69112,6,0,1100 SOQUEL AVENUE,0,95062,0,0,Y,0,0,0,87,12,0,1007,19921231,0,19921231,0,19600901,19720630,0,0,0,0,0,,0,0,0,,0,0
23,3261,06/30/1972 00:00:00,12/31/1992 00:00:00,0,0,0,0,0,0,0,0,0,0,0,2,,0,,12/31/1992 00:00:00,0,,11/26/1951 00:00:00,0,0,0,0,1164,0,VALLEJO BRANCH                                                                                                          ,VALLEJO BR                    ,1002715427,0,0,0,DBR,0,0,VALLEJO,UNITED STATES                           ,0,CA,81666,6,0,913 TENNESSEE STREET,0,94590,0,0,Y,0,0,0,95,12,0,1007,19921231,0,19921231,0,19511126,19720630,0,0,0,0,0,,0,0,0,,0,0
24,785165,06/30/1986 00:00:00,12/31/1992 00:00:00,0,0,0,0,0,0,0,0,0,0,0,2,,0,,12/31/1992 00:00:00,0,,06/15/1970 00:00:00,0,0,0,0,1164,0,NATIONAL CITY BRANCH                                                                                                    ,NATIONAL CITY BR              ,388516064,0,0,0,DBR,0,0,NATIONAL CITY,UNITED STATES                           ,0,CA,50398,6,0,"400 WEST 24TH STREET, SUITE D",0,92050,0,0,Y,0,0,0,73,12,0,1007,19921231,0,19921231,0,19700615,19860630,0,0,0,0,0,,0,0,0,,0,0
80,862365,04/24/1990 00:00:00,12/31/1992 00:00:00,0,0,0,0,0,0,0,0,0,0,0,2,,0,,12/31/1992 00:00:00,0,,12/01/1964 00:00:00,0,0,0,0,1164,0,MANTECA BRANCH                                                                                                          ,MANTECA BR                    ,405957249,0,0,0,DBR,0,0,MANTECA,UNITED STATES                           ,0,CA,45484,6,0,164 NORTH MAPLE AVENUE,0,95336,0,0,Y,0,0,0,77,12,0,1007,19921231,0,19921231,0,19641201,19900424,0,0,0,0,0,,0,0,0,,0,0
82,829069,04/24/1990 00:00:00,12/31/1992 00:00:00,0,0,0,0,0,0,0,0,0,0,0,2,,0,,12/31/1992 00:00:00,0,,11/01/1982 00:00:00,0,0,0,0,1164,0,HEMET BRANCH                                                                                                            ,HEMET BR                      ,754465139,0,0,0,DBR,0,0,HEMET,UNITED STATES                           ,0,CA,33182,6,0,3212 WEST FLORIDA AVENUE,0,92343,0,0,Y,0,0,0,65,12,0,1007,19921231,0,19921231,0,19821101,19900424,0,0,0,0,0,,0,0,0,,0,0
84,2006033,04/02/1990 00:00:00,12/31/1992 00:00:00,0,0,0,0,0,0,0,0,0,0,0,2,,0,,12/31/1992 00:00:00,0,,04/02/1990 00:00:00,0,0,0,0,1164,0,WHITTIER DOWNTOWN BRANCH                                                                                                ,WHITTIER DOWNTOWN BR          ,504475405,0,0,0,DBR,0,0,WHITTIER,UNITED STATES                           ,0,CA,85292,6,0,7200 SOUTH GREENLEAF AVENUE,0,90602,0,0,Y,0,0,0,37,12,0,1007,19921231,0,19921231,0,19900402,19900402,0,0,0,0,0,,0,0,0,,0,0
86,730567,06/30/1987 00:00:00,12/31/1992 00:00:00,0,0,0,0,0,0,0,0,0,0,0,2,,0,,12/31/1992 00:00:00,0,,08/01/1976 00:00:00,0,0,0,0,1164,0,HAYWARD SOUTH SIDE BRANCH                                                                                               ,HAYWARD S SIDE BR             ,144488726,0,0,0,DBR,0,0,HAYWARD,UNITED STATES                           ,0,CA,33000,6,0,24301 SOUTHLAND DRIVE,0,94544,0,0,Y,0,0,0,1,12,0,1007,19921231,0,19921231,0,19760801,19870630,0,0,0,0,0,,0,0,0,,0,0
87,4866,06/30/1983 00:00:00,12/31/1992 00:00:00,0,0,0,0,0,0,0,0,0,0,0,2,,0,,12/31/1992 00:00:00,0,,06/22/1951 00:00:00,0,0,0,0,1164,0,HAYWARD A STREET BRANCH                                                                                                 ,HAYWARD A ST BR               ,1030322204,0,0,0,DBR,0,0,HAYWARD,UNITED STATES                           ,0,CA,33000,6,0,1061 A STREET,0,94541,0,0,Y,0,0,0,1,12,0,1007,19921231,0,19921231,0,19510622,19830630,0,0,0,0,0,,0,0,0,,0,0
89,866569,06/30/1972 00:00:00,04/05/1987 00:00:00,0,0,0,0,0,0,0,0,0,0,0,2,,0,,04/05/1987 00:00:00,0,,05/01/1967 00:00:00,0,0,0,0,1164,0,MILLBRAE BRANCH                                                                                                         ,MILLBRAE BR                   ,547453000,0,0,0,DBR,0,0,MILLBRAE,UNITED STATES                           ,0,CA,47486,6,0,1370 EL CAMINO REAL,0,94030,0,0,Y,0,0,0,81,12,0,1007,19870405,0,19870405,0,19670501,19720630,0,0,0,0,0,,0,0,0,,0,0
130,793263,09/22/1986 00:00:00,12/31/1992 00:00:00,0,0,0,0,0,0,0,0,0,0,0,2,,0,,12/31/1992 00:00:00,0,,12/27/1976 00:00:00,0,0,0,0,1164,0,VENTURA BRANCH                                                                                                          ,VENTURA BR                    ,960114139,0,0,0,DBR,0,0,VENTURA,UNITED STATES                           ,0,CA,93550,6,0,1304 EAST MAIN STREET,0,93003,0,0,Y,0,0,0,111,12,0,1007,19921231,0,19921231,0,19761227,19860922,0,0,0,0,0,,0,0,0,,0,0
