,#ID_RSSD_PARENT,ID_RSSD_OFFSPRING,D_DT_START,RELN_LVL,CTRL_IND,D_DT_RELN_EST,EQUITY_IND,OTHER_BASIS_IND,PCT_EQUITY,PCT_OTHER,REASON_ROW_CRTD,REASON_TERM_RELN,REG_IND,PCT_EQUITY_BRACKET,PCT_EQUITY_FORMAT,D_DT_END,MB_COST,FC_IND,REGK_INV,DT_END,DT_RELN_EST,DT_START
16775,469951,1155,02/20/1987 00:00:00,4,1,02/20/1987 00:00:00,1,0,29.0,0.0,1,2,1,25-50   ,EXACT   ,09/29/1987 00:00:00,0,0,0,19870929,19870220,19870220
50619,1048728,505,05/18/1983 00:00:00,1,1,05/18/1983 00:00:00,1,0,75.0,0.0,1,0,1,>50-<80 ,EXACT   ,12/30/1984 00:00:00,0,0,0,19841230,19830518,19830518
50620,1048728,505,12/31/1984 00:00:00,1,1,05/18/1983 00:00:00,1,0,100.0,0.0,2,0,1,100     ,EXACT   ,12/31/9999 00:00:00,0,0,0,99991231,19830518,19841231
52553,1053142,42457,12/31/1970 00:00:00,1,1,11/15/1968 00:00:00,1,0,89.0,0.0,1,0,1,80-100  ,EXACT   ,12/31/9999 00:00:00,0,0,0,99991231,19681115,19701231
53288,1054729,14650,11/07/1974 00:00:00,1,1,11/07/1974 00:00:00,1,0,91.0,0.0,1,0,1,80-100  ,EXACT   ,12/30/1984 00:00:00,0,0,0,19841230,19741107,19741107
53289,1054729,14650,12/31/1984 00:00:00,1,1,11/07/1974 00:00:00,1,0,92.0,0.0,2,0,1,80-100  ,EXACT   ,01/01/1995 00:00:00,0,0,0,19950101,19741107,19841231
53290,1054729,14650,01/02/1995 00:00:00,1,1,11/07/1974 00:00:00,1,0,96.0,0.0,2,0,1,80-100  ,EXACT   ,12/16/1996 00:00:00,0,0,0,19961216,19741107,19950102
53291,1054729,14650,12/17/1996 00:00:00,1,1,11/07/1974 00:00:00,1,0,100.0,0.0,2,0,1,100     ,EXACT   ,12/31/9999 00:00:00,0,0,0,99991231,19741107,19961217
53346,1054840,1454,11/01/1971 00:00:00,1,1,11/01/1971 00:00:00,1,0,100.0,0.0,1,0,1,100     ,EXACT   ,12/31/9999 00:00:00,0,0,0,99991231,19711101,19711101
54940,1059630,14753,03/05/1980 00:00:00,1,1,03/05/1980 00:00:00,1,0,89.0,0.0,1,0,1,80-100  ,EXACT   ,12/30/1991 00:00:00,0,0,0,19911230,19800305,19800305
54941,1059630,14753,12/31/1991 00:00:00,1,1,03/05/1980 00:00:00,1,0,88.0,0.0,2,0,1,80-100  ,EXACT   ,12/30/1992 00:00:00,0,0,0,19921230,19800305,19911231
54942,1059630,14753,12/31/1992 00:00:00,1,1,03/05/1980 00:00:00,1,0,90.0,0.0,2,0,1,80-100  ,EXACT   ,04/19/2000 00:00:00,0,0,0,20000419,19800305,19921231
54943,1059630,14753,04/20/2000 00:00:00,1,1,03/05/1980 00:00:00,1,0,89.0,0.0,2,2,1,80-100  ,EXACT   ,12/31/2003 00:00:00,0,0,0,20031231,19800305,20000420
55053,1059975,72258,06/02/1980 00:00:00,1,1,06/02/1980 00:00:00,1,0,99.0,0.0,1,0,1,80-100  ,EXACT   ,12/30/1980 00:00:00,0,0,0,19801230,19800602,19800602
55054,1059975,72258,12/31/1980 00:00:00,1,1,06/02/1980 00:00:00,1,0,96.0,0.0,2,0,1,80-100  ,EXACT   ,09/29/1989 00:00:00,0,0,0,19890929,19800602,19801231
55055,1059975,72258,09/30/1989 00:00:00,1,1,06/02/1980 00:00:00,1,0,97.0,0.0,2,0,1,80-100  ,EXACT   ,06/29/1997 00:00:00,0,0,0,19970629,19800602,19890930
55056,1059975,72258,06/30/1997 00:00:00,1,1,06/02/1980 00:00:00,1,0,100.0,0.0,2,0,1,100     ,EXACT   ,12/31/9999 00:00:00,0,0,0,99991231,19800602,19970630
55140,1060270,1155,03/16/1981 00:00:00,1,1,03/16/1981 00:00:00,1,0,98.0,0.0,1,1,1,80-100  ,EXACT   ,02/19/1987 00:00:00,0,0,0,19870219,19810316,19810316
55943,1062519,1856,12/08/1981 00:00:00,1,1,12/08/1981 00:00:00,1,0,80.0,0.0,1,2,1,80-100  ,EXACT   ,12/26/2002 00:00:00,0,0,0,20021226,19811208,19811208
60086,1071306,42420,04/29/1983 00:00:00,1,1,04/29/1983 00:00:00,1,0,100.0,0.0,1,0,1,100     ,EXACT   ,12/31/9999 00:00:00,0,0,0,99991231,19830429,19830429
