#ID_RSSD_PREDECESSOR,ID_RSSD_SUCCESSOR,D_DT_TRANS,TRNSFM_CD,ACCT_METHOD,DT_TRANS
28,75026,"01/01/1994 00:00:00",1,0,19940101
46,1003848,"10/01/1993 00:00:00",1,0,19931001
55,951951,"01/11/1982 00:00:00",1,0,19820111
64,1213683,"07/30/1988 00:00:00",50,0,19880730
82,41393,"01/01/2000 00:00:00",1,0,20000101
91,196873,"01/01/1995 00:00:00",1,0,19950101
130,617734,"02/15/1986 00:00:00",50,0,19860215
176,312271,"07/02/1990 00:00:00",50,0,19900702
185,798987,"07/12/1985 00:00:00",1,0,19850712
194,697594,"06/04/1990 00:00:00",1,0,19900604
233,887126,"01/01/1988 00:00:00",1,0,19880101
251,273457,"09/18/1993 00:00:00",1,0,19930918
288,407980,"10/24/1997 00:00:00",1,0,19971024
288,1899528,"10/24/1997 00:00:00",1,0,19971024
381,23184,"04/01/1994 00:00:00",1,0,19940401
439,507330,"08/17/2007 00:00:00",1,1,20070817
475,235491,"07/01/2011 00:00:00",1,0,20110701
484,384577,"10/01/1998 00:00:00",1,0,19981001
493,104092,"10/01/2005 00:00:00",1,0,20051001
532,182232,"06/29/1996 00:00:00",1,1,19960629
550,791456,"04/30/1988 00:00:00",1,0,19880430
578,1387753,"01/04/1997 00:00:00",1,0,19970104
587,28497,"06/01/1999 00:00:00",1,0,19990601
596,406095,"09/02/1997 00:00:00",1,0,19970902
608,40305,"03/25/2000 00:00:00",1,1,20000325
680,929893,"08/19/1983 00:00:00",1,0,19830819
699,67599,"06/01/1984 00:00:00",1,0,19840601
710,748601,"12/01/1982 00:00:00",1,0,19821201
738,565639,"05/25/1989 00:00:00",50,0,19890525
783,824877,"07/01/1988 00:00:00",1,0,19880701
868,126263,"04/16/1998 00:00:00",1,1,19980416
895,446185,"01/20/1995 00:00:00",1,0,19950120
934,800871,"04/01/1983 00:00:00",1,0,19830401
952,1454,"08/21/1993 00:00:00",1,0,19930821
970,242248,"10/01/1997 00:00:00",1,1,19971001
989,751786,"09/08/1983 00:00:00",1,0,19830908
998,187983,"05/07/2005 00:00:00",1,0,20050507
1070,713878,"08/24/1985 00:00:00",1,0,19850824
1146,369378,"04/23/2007 00:00:00",1,0,20070423
1182,265788,"02/04/2003 00:00:00",1,0,20030204
1258,212652,"07/14/1990 00:00:00",1,0,19900714
1285,378875,"09/30/1983 00:00:00",1,0,19830930
1342,978145,"11/05/1984 00:00:00",1,0,19841105
1388,468990,"01/01/1990 00:00:00",1,0,19900101
1397,770095,"09/30/2014 00:00:00",1,0,20140930
1472,512679,"06/01/1982 00:00:00",1,0,19820601
1481,935072,"01/31/1989 00:00:00",1,0,19890131
1490,78773,"10/30/1986 00:00:00",1,0,19861030
1557,246956,"02/12/2018 00:00:00",1,1,20180212
1584,710390,"11/30/1980 00:00:00",1,0,19801130
1593,427399,"01/01/2016 00:00:00",1,0,20160101
1632,395238,"06/01/2010 00:00:00",1,1,20100601
1650,66855,"10/09/1993 00:00:00",1,0,19931009
1678,575889,"10/01/2016 00:00:00",1,0,20161001
1687,685788,"12/31/2008 00:00:00",1,0,20081231
1735,3533,"07/01/1977 00:00:00",1,0,19770701
1744,256647,"04/19/1984 00:00:00",50,0,19840419
1753,3850,"09/30/1988 00:00:00",1,0,19880930
1771,53239,"05/12/1990 00:00:00",50,0,19900512
1780,372088,"06/30/1986 00:00:00",1,0,19860630
1801,147204,"06/23/1966 00:00:00",1,0,19660623
1810,266909,"08/19/1972 00:00:00",1,0,19720819
1829,811279,"04/08/2017 00:00:00",1,2,20170408
1847,317342,"05/30/1998 00:00:00",1,1,19980530
1874,722777,"08/28/1993 00:00:00",50,0,19930828
1883,275581,"04/01/1994 00:00:00",1,0,19940401
1959,805250,"03/22/2002 00:00:00",1,2,20020322
1986,490683,"02/04/1985 00:00:00",1,0,19850204
2040,962890,"07/01/2019 00:00:00",1,2,20190701
2086,68297,"06/17/1989 00:00:00",50,0,19890617
2095,887890,"07/01/1982 00:00:00",1,0,19820701
2125,62222,"12/17/1993 00:00:00",1,0,19931217
2170,736671,"01/31/1986 00:00:00",1,0,19860131
2189,486686,"01/31/1983 00:00:00",1,0,19830131
2237,371036,"01/02/1980 00:00:00",1,0,19800102
2255,633659,"08/11/2000 00:00:00",1,1,20000811
2273,217572,"02/04/1989 00:00:00",50,0,19890204
2312,447016,"01/03/1961 00:00:00",1,0,19610103
2330,887126,"03/27/1993 00:00:00",1,0,19930327
2358,324256,"05/21/1988 00:00:00",1,0,19880521
2367,177265,"10/01/1987 00:00:00",1,0,19871001
2376,229801,"12/01/2019 00:00:00",1,2,20191201
2385,643377,"07/25/1992 00:00:00",1,0,19920725
2451,1016259,"07/24/2010 00:00:00",50,0,20100724
2451,1400894,"07/24/2010 00:00:00",50,0,20100724
2509,1856455,"01/07/1991 00:00:00",50,0,19910107
2554,960551,"04/27/2019 00:00:00",1,1,20190427
2572,334590,"06/01/2012 00:00:00",1,0,20120601
2581,751674,"08/07/1982 00:00:00",1,0,19820807
2639,1017630,"01/03/1978 00:00:00",1,0,19780103
2648,504713,"05/28/1999 00:00:00",1,1,19990528
2657,6851,"06/17/1988 00:00:00",50,0,19880617
2675,722777,"08/01/1981 00:00:00",1,0,19810801
2723,127626,"11/03/1975 00:00:00",1,0,19751103
2787,419479,"10/01/1984 00:00:00",1,0,19841001
2826,767723,"11/08/1965 00:00:00",1,0,19651108
2871,793487,"10/01/1998 00:00:00",1,0,19981001
2899,150491,"12/01/2006 00:00:00",1,0,20061201
2901,129817,"01/01/1981 00:00:00",1,0,19810101
2938,395238,"06/01/2010 00:00:00",1,1,20100601
2956,564155,"12/30/2005 00:00:00",1,1,20051230
2983,453688,"04/30/2009 00:00:00",1,0,20090430
2992,225698,"02/01/1993 00:00:00",1,0,19930201
3038,372930,"09/01/1986 00:00:00",1,0,19860901
3056,279954,"04/01/1991 00:00:00",1,0,19910401
3083,831071,"08/01/1990 00:00:00",1,0,19900801
3092,737696,"01/01/1983 00:00:00",1,0,19830101
3140,726944,"06/26/1988 00:00:00",1,0,19880626
3177,85472,"12/01/2016 00:00:00",1,2,20161201
3186,115173,"10/15/1982 00:00:00",1,0,19821015
3195,50694,"05/16/1994 00:00:00",1,0,19940516
3234,79837,"08/14/1967 00:00:00",1,0,19670814
3289,82677,"09/01/1991 00:00:00",1,0,19910901
3391,554996,"06/01/1983 00:00:00",1,0,19830601
3476,870379,"06/01/1983 00:00:00",1,0,19830601
3485,499882,"04/01/2006 00:00:00",1,0,20060401
3494,173173,"06/01/2013 00:00:00",1,0,20130601
3506,497404,"01/01/2007 00:00:00",1,2,20070101
3533,147231,"09/04/1992 00:00:00",1,0,19920904
3579,1011526,"05/21/2005 00:00:00",1,2,20050521
3597,382078,"02/28/1996 00:00:00",1,0,19960228
3654,482156,"08/01/1996 00:00:00",1,2,19960801
3672,274070,"11/30/1969 00:00:00",1,0,19691130
3681,453987,"06/30/1987 00:00:00",1,0,19870630
3690,915298,"07/01/2002 00:00:00",1,0,20020701
3766,214151,"01/28/1988 00:00:00",1,0,19880128
3784,438096,"11/09/1987 00:00:00",1,0,19871109
3805,769204,"12/23/1975 00:00:00",1,0,19751223
3850,1998805,"10/31/1992 00:00:00",50,0,19921031
3878,148304,"02/08/1992 00:00:00",50,0,19920208
3887,807692,"07/01/1996 00:00:00",1,0,19960701
3908,229801,"12/31/1981 00:00:00",1,0,19811231
3935,1010930,"08/28/1989 00:00:00",1,0,19890828
3953,163857,"06/09/2012 00:00:00",50,0,20120609
4053,561659,"04/03/1999 00:00:00",1,2,19990403
4071,889876,"10/01/1982 00:00:00",1,0,19821001
4138,509811,"01/22/2011 00:00:00",1,1,20110122
4147,525549,"12/05/2006 00:00:00",1,2,20061205
4183,375977,"11/04/1983 00:00:00",1,0,19831104
4192,663692,"01/01/2018 00:00:00",1,0,20180101
4268,676656,"12/30/2000 00:00:00",1,2,20001230
4295,945277,"09/30/1990 00:00:00",1,0,19900930
4352,678753,"12/31/1987 00:00:00",1,0,19871231
4370,1857135,"12/23/1988 00:00:00",50,0,19881223
4398,981994,"10/01/1985 00:00:00",1,0,19851001
4437,2692753,"03/05/2016 00:00:00",1,1,20160305
4455,2857561,"12/18/1999 00:00:00",1,2,19991218
4473,909475,"11/26/1983 00:00:00",1,0,19831126
4482,882288,"11/01/2004 00:00:00",1,0,20041101
4491,88099,"01/01/1998 00:00:00",1,0,19980101
4549,636043,"02/13/1988 00:00:00",50,0,19880213
4558,601050,"07/01/1995 00:00:00",1,1,19950701
4679,434593,"10/01/2011 00:00:00",1,0,20111001
