,bank.type,bank.value,website.type,website.value,isin.type,isin.value,viafid.type,viafid.value,bankLabel.xml:lang,bankLabel.type,bankLabel.value,bankDescription.xml:lang,bankDescription.type,bankDescription.value,countryLabel.xml:lang,countryLabel.type,countryLabel.value,gid.type,gid.value,deathyear.datatype,deathyear.type,deathyear.value,bankAltLabel.xml:lang,bankAltLabel.type,bankAltLabel.value,owner.type,owner.value,parent.type,parent.value,permid.type,permid.value,lei.type,lei.value
0,uri,http://www.wikidata.org/entity/Q397268,uri,http://www.agrobanka.co.rs/,literal,RSAGROE02462,literal,305682272,en,literal,Agrobanka,en,literal,Serbian bank,en,literal,Serbia,literal,/g/123338zj,http://www.w3.org/2001/XMLSchema#integer,literal,2012,,,,,,,,,,,
1,uri,http://www.wikidata.org/entity/Q2883410,uri,http://www.bna.dz/,,,literal,144861915,en,literal,National Bank of Algeria,en,literal,Algerian commercial bank,en,literal,Algeria,literal,/g/121c9z0b,,,,en,literal,BNA,,,,,,,,
2,uri,http://www.wikidata.org/entity/Q2064074,uri,http://www.uobgroup.com/,literal,SG1M31001969,literal,135241015,en,literal,United Overseas Bank,en,literal,Singaporean multinational banking organization,en,literal,Singapore,,,,,,en,literal,UOB Group,,,,,,,,
3,uri,http://www.wikidata.org/entity/Q705417,uri,http://www.dbs.com,literal,SG1L01001701,literal,132862733,en,literal,DBS Bank,en,literal,multinational banking and financial services company,en,literal,Singapore,,,,,,en,literal,"DBS, DBS Bank Limited",uri,http://www.wikidata.org/entity/Q762479,,,,,,
4,uri,http://www.wikidata.org/entity/Q705417,uri,http://www.dbs.com,literal,SG1L01001701,literal,137728933,en,literal,DBS Bank,en,literal,multinational banking and financial services company,en,literal,Singapore,,,,,,en,literal,"DBS, DBS Bank Limited",uri,http://www.wikidata.org/entity/Q762479,,,,,,
5,uri,http://www.wikidata.org/entity/Q1094313,uri,http://www.santander.cl,,,literal,141086766,en,literal,Banco Santander-Chile,en,literal,company,en,literal,Chile,,,,,,es,literal,"Banco Osorno, Banco Santander Chile, Banco Santander Santiago",,,uri,http://www.wikidata.org/entity/Q806215,,,,
6,uri,http://www.wikidata.org/entity/Q714641,uri,http://www.anz.com/,literal,AU000000ANZ3,literal,142493021,en,literal,Australia and New Zealand Banking Group,en,literal,Australian banking group,en,literal,Australia,,,,,,en,literal,"ANZ, AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED",,,,,,,,
7,uri,http://www.wikidata.org/entity/Q2882078,uri,https://www.bancopatagonia.com.ar,,,,,en,literal,Patagonia Bank,en,literal,Argentine commercial bank headquartered in Buenos Aires,en,literal,Argentina,,,,,,,,,uri,http://www.wikidata.org/entity/Q610817,,,,,,
8,uri,http://www.wikidata.org/entity/Q2883031,uri,https://badrbanque.dz,,,,,en,literal,BADR,en,literal,Banks in Algeria,en,literal,Algeria,literal,/g/11h1sqvwy,,,,fr,literal,BADR,,,,,,,,
9,uri,http://www.wikidata.org/entity/Q2882644,uri,http://www.posted.co.rs,,,,,en,literal,Poštanska štedionica,en,literal,Serbian banking and financial services company,en,literal,Serbia,,,,,,en,literal,Banka Poštanska štedionica,uri,http://www.wikidata.org/entity/Q1285499,,,,,,
10,uri,http://www.wikidata.org/entity/Q2031726,uri,https://www.westpac.com.au/,literal,AU000000WBC1,literal,144276168,en,literal,Westpac,en,literal,Australian bank and financial-services provider,en,literal,Australia,,,,,,en,literal,"WBC, Western Pacific, Western-Pacific, Westpac Banking Corporation, WESTPAC BANKING CORPORATION",,,,,literal,4295856627,,
11,uri,http://www.wikidata.org/entity/Q3072956,uri,https://www.fnb.co.za/,,,literal,306390329,en,literal,First National Bank,en,literal,bank of South Africa,en,literal,South Africa,,,,,,en,literal,FNB,,,,,,,,
12,uri,http://www.wikidata.org/entity/Q2001669,uri,http://www.nb-ra.org/,,,,,en,literal,National Bank of the Republic of Abkhazia,en,literal,central bank,en,literal,Republic of Abkhazia,,,,,,en,literal,Bank of Abkhazia,,,,,,,,
13,uri,http://www.wikidata.org/entity/Q2931752,uri,http://www.cnepbanque.dz,,,,,en,literal,CNEP-Bank,en,literal,Algerian bank,en,literal,Algeria,literal,/g/1235knlh,,,,en,literal,CNEP-Banque,uri,http://www.wikidata.org/entity/Q262,,,,,,
14,uri,http://www.wikidata.org/entity/Q1419320,,,,,literal,153051722,en,literal,Union Bank of Australia,en,literal,former banking company in Australia and New Zealand,en,literal,Australia,literal,/g/12135qr6,,,,,,,,,,,,,,
