|FRN|Firm|
|228296|1st Alliance (Ayrshire) Credit Union Limited|
|213700|1st Class Credit Union Limited|
|419396|6 Towns Credit Union Limited|
|575635|Abbey Credit Union Limited|
|213693|Abronhill Credit Union Limited|
|213228|Advance Credit Union Limited|
|574426|Aghaloo Credit Union Limited|
|573849|Annahoe Credit Union limited|
|574005|Antrim Credit Union Limited|
|574622|Ardboe Credit Union Limited|
|573925|Armagh Credit Union Limited|
|573342|Avila Credit Union Limited|
|213683|Ayrshire Credit Union Limited|
|213640|B C D Credit Union Limited|
|213396|Bacup (Lancashire) Credit Union Limited|
|213428|BAG Credit Union Limited|
|213957|Baillieston Credit Union Limited|
|213873|Bakers Food and Allied Workers' Credit Union Limited|
|574313|Ballinascreen Credit Union Limited|
|574624|Ballinderry Bridge Credit Union Limited|
|573851|Ballycastle Credit Union Limited|
|574315|Ballyhackamore Credit Union Limited|
|573987|Ballykelly Credit Union Limited|
|576500|Ballymacash Credit Union Limited|
|574110|Ballymena Credit Union Limited|
|573790|Ballynafeigh Credit Union Limited|
|573803|Ballynahinch Credit Union Limited|
|574100|Banbridge Credit Union Limited|
|576003|Bannvale Credit Union Limited|
|574098|Bannview Community Credit Union Limited|
|213229|Basildon Credit Union Limited|
|577241|BDS Credit Union Limited|
|213900|Bedford Credit Union Limited|
|213992|Bedworth and Bulkington Credit Union Limited|
|574877|Beechview Antigonish Credit Union Limited|
|213899|Beewise Credit Union Limited|
|574101|Belleek-Garrison Credit Union Limited|
|576338|Belvoir Credit Union Limited|
|213610|Benarty & Lochgelly Credit Union Limited|
|573344|Benburb & Killyman Districts Credit Union Limited|
|574131|Beragh Credit Union Limited|
|573864|Bessbrook Credit Union Limited|
|214299|Black Squirrel Credit Union Limited|
|213797|Blackburn Seafield and District Credit Union Limited|
|478917|Blackpool, Fylde & Wyre Credit Union Limited|
|213669|Blantyre Credit Union Limited|
|213538|Blues and Twos Credit Union Limited|
|213934|Bradford District Credit Union Limited|
|213245|Brent Shrine Credit Union Limited|
|213681|Bridgend Lifesavers Credit Union Limited|
|213583|Bristol Credit Union Limited|
|573880|Britannia Credit Union Limited|
|573536|Brownlow (Lurgan) Credit Union Limited|
|213364|Burnley West Credit Union Limited|
|213587|Calderdale Credit Union Limited|
|213912|Caledonian Credit Union Limited|
|213778|Cambuslang Credit Union Limited|
|574517|Camlin Credit Union Limited|
|213575|Capital Credit Union Limited|
|213467|Cardiff and the Vale Credit Union Limited|
|401116|Carlisle & District Credit Union Limited|
|214003|Carmyle Credit Union Limited|
|576111|Carnglen Credit Union Limited|
|213920|Carntyne and Riddrie Credit Union Limited|
|574099|Carrickfergus Credit Union Limited|
|213528|Cash Box Credit Union Limited|
|213711|Castle & Crystal Credit Union Limited|
|574514|Castlederg & District No 12 Credit Union Limited|
|213657|Castlemilk Credit Union Limited|
|232150|Celtic Credit Union Ltd|
|213251|Central Liverpool Credit Union Limited|
